more_90_days_overdue,using_lines_not_secured_personal_assets,number_times_delayed_payment_loan_30_59_days,debt_ratio,number_times_delayed_payment_loan_60_89_days,default_flag,user_id,age,sex,last_month_salary,number_dependents,loan_id,loan_type,Q1,Q3,salary_outlier
0,"0,9999999",0,0,0,0,33270,22,F,,0,285250,OTHER,3950,9004,NORMAL
0,"0,005996003",0,0,0,0,31952,22,M,929,0,275461,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,30240,22,M,929,0,262612,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,7779,22,F,100,0,93986,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,26354,22,M,,0,,,3950,9004,NORMAL
0,"0,005996003",0,0,0,0,31952,22,M,929,0,275460,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,12771,22,M,,,,,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,17431,22,M,,0,,,3950,9004,NORMAL
0,0,0,0,0,0,24166,22,F,820,0,217061,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,1792,22,M,864,0,49305,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,24115,22,M,3600,0,216637,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33153,22,F,820,0,284342,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,17714,22,M,2745,0,168233,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,23737,22,M,820,0,213902,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,7825,22,M,820,0,94307,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33153,22,F,820,0,284341,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,21860,22,M,929,0,199884,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,14112,22,M,0,0,141455,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,34674,22,M,1000,0,295732,OTHER,3950,9004,NORMAL
0,"0,003998001",0,0,0,0,34618,22,F,929,0,295366,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,26111,22,M,1400,0,231404,OTHER,3950,9004,NORMAL
0,"0,003998001",0,0,0,0,34618,22,F,929,0,295369,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,23057,22,M,,0,,,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,30541,22,F,2500,0,,,3950,9004,NORMAL
0,0,0,0,0,0,17714,22,M,2745,0,168232,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,13479,22,F,1500,0,136713,OTHER,3950,9004,NORMAL
0,"0,0499002",0,0,0,0,20779,22,F,0,0,191569,OTHER,3950,9004,NORMAL
0,"0,051896208",0,0,0,0,6546,22,F,704,0,84500,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,6923,22,M,7370,0,87400,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,7457,22,M,0,0,,,3950,9004,NORMAL
0,"0,003998001",0,0,0,0,34618,22,F,929,0,295368,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33917,22,M,820,0,290075,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,32473,22,F,2133,0,,,3950,9004,NORMAL
0,0,0,0,0,0,31374,22,M,929,0,271135,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,31374,22,M,929,0,271136,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,13479,22,F,1500,0,136714,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,24166,22,F,820,0,217060,OTHER,3950,9004,NORMAL
0,"0,003998001",0,0,0,0,34618,22,F,929,0,295370,OTHER,3950,9004,NORMAL
0,"0,074925075",0,2,0,0,4197,22,M,,0,67226,OTHER,3950,9004,NORMAL
0,"0,638722555",0,"4,5",0,0,25132,22,M,1,0,224081,OTHER,3950,9004,NORMAL
0,"0,638722555",0,"4,5",0,0,25132,22,M,1,0,224080,OTHER,3950,9004,NORMAL
0,"0,552894212",0,8,0,0,6309,22,M,0,0,82743,OTHER,3950,9004,NORMAL
0,"0,9999999",0,20,0,0,3683,22,M,,0,,,3950,9004,NORMAL
0,"0,148770246",0,22,0,0,20557,22,M,0,0,189853,OTHER,3950,9004,NORMAL
0,"0,309865276",0,23,0,0,13521,22,F,,0,137009,OTHER,3950,9004,NORMAL
0,"0,309865276",0,23,0,0,13521,22,F,,0,137007,OTHER,3950,9004,NORMAL
0,"0,309865276",0,23,0,0,13521,22,F,,0,137008,OTHER,3950,9004,NORMAL
0,"0,953046953",0,28,0,0,7628,22,M,0,0,92904,OTHER,3950,9004,NORMAL
0,"0,953046953",0,28,0,0,7628,22,M,0,0,92906,OTHER,3950,9004,NORMAL
0,"0,953046953",0,28,0,0,7628,22,M,0,0,92905,OTHER,3950,9004,NORMAL
0,"0,522477522",0,36,0,0,9696,22,F,0,0,108355,OTHER,3950,9004,NORMAL
0,"0,9999999",0,50,0,0,20487,22,M,,0,189373,OTHER,3950,9004,NORMAL
0,"0,9999999",0,50,0,0,20487,22,M,,0,189374,OTHER,3950,9004,NORMAL
0,"1,046976512",0,62,0,0,13819,22,F,,0,139292,OTHER,3950,9004,NORMAL
0,"0,129740519",0,"0,5",0,0,3904,22,F,1,0,65132,OTHER,3950,9004,NORMAL
0,"0,038961039",0,1,0,0,6865,22,M,0,0,86921,OTHER,3950,9004,NORMAL
0,"0,052434457",0,1,0,0,3319,22,F,,,60762,OTHER,3950,9004,NORMAL
0,"0,038961039",0,1,0,0,6865,22,M,0,0,86922,OTHER,3950,9004,NORMAL
0,"0,126245847",0,1,0,0,32951,22,M,,0,282853,OTHER,3950,9004,NORMAL
0,"0,9999999",0,97,0,0,12647,22,M,,0,,,3950,9004,NORMAL
0,"1,148955495",1,37,0,0,12666,22,F,,0,130552,OTHER,3950,9004,NORMAL
0,"1,148955495",1,37,0,0,12666,22,F,,0,130551,OTHER,3950,9004,NORMAL
0,"0,9999999",0,212,0,0,35417,22,M,,,301041,OTHER,3950,9004,NORMAL
0,"0,9999999",0,212,0,0,35417,22,M,,,301040,OTHER,3950,9004,NORMAL
0,"0,9999999",0,346,0,0,25469,22,M,,0,226709,OTHER,3950,9004,NORMAL
0,"1,035928144",0,"0,00394633",0,0,2822,22,M,3800,0,57025,OTHER,3950,9004,NORMAL
0,"1,043182727",0,"0,224462955",0,0,13011,22,M,2280,0,133283,OTHER,3950,9004,NORMAL
0,"1,043182727",0,"0,224462955",0,0,13011,22,M,2280,0,133282,OTHER,3950,9004,NORMAL
0,"1,043182727",0,"0,224462955",0,0,13011,22,M,2280,0,133281,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203847,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203853,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203850,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203849,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203848,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203851,OTHER,3950,9004,NORMAL
0,"0,03901711",0,"0,208306295",0,0,22396,22,F,1540,0,203852,OTHER,3950,9004,NORMAL
0,0,0,"0,007984032",0,0,3045,22,M,500,0,58768,OTHER,3950,9004,NORMAL
0,0,0,"0,007984032",0,0,3045,22,M,500,0,58769,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,205661948",0,0,22193,22,F,1200,0,202329,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,221462388",0,0,6011,22,M,1900,0,80470,OTHER,3950,9004,NORMAL
0,"0,462276726",0,"0,139930035",0,0,7661,22,F,2000,0,93154,OTHER,3950,9004,NORMAL
0,"0,462276726",0,"0,139930035",0,0,7661,22,F,2000,0,93153,OTHER,3950,9004,NORMAL
0,"0,462276726",0,"0,139930035",0,0,7661,22,F,2000,0,93155,OTHER,3950,9004,NORMAL
0,"0,462276726",0,"0,139930035",0,0,7661,22,F,2000,0,93156,OTHER,3950,9004,NORMAL
0,0,0,"0,700996678",0,0,19672,22,M,300,0,182983,OTHER,3950,9004,NORMAL
0,0,0,"0,700996678",0,0,19672,22,M,300,0,182984,OTHER,3950,9004,NORMAL
0,0,0,"0,700996678",0,0,19672,22,M,300,0,182986,OTHER,3950,9004,NORMAL
0,0,0,"0,700996678",0,0,19672,22,M,300,0,182985,OTHER,3950,9004,NORMAL
0,"0,035964036",0,"0,001075269",0,0,21372,22,M,929,0,196077,OTHER,3950,9004,NORMAL
0,"0,035964036",0,"0,001075269",0,0,21372,22,M,929,0,196078,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,096423017",0,0,11173,22,F,4500,0,119399,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,096423017",0,0,11173,22,F,4500,0,119398,OTHER,3950,9004,NORMAL
0,"0,341639748",0,"0,074423771",1,0,9076,22,F,3600,0,103826,OTHER,3950,9004,NORMAL
0,"0,341639748",0,"0,074423771",1,0,9076,22,F,3600,0,103827,OTHER,3950,9004,NORMAL
0,"0,341639748",0,"0,074423771",1,0,9076,22,F,3600,0,103823,OTHER,3950,9004,NORMAL
0,"0,341639748",0,"0,074423771",1,0,9076,22,F,3600,0,103824,OTHER,3950,9004,NORMAL
0,"0,341639748",0,"0,074423771",1,0,9076,22,F,3600,0,103825,OTHER,3950,9004,NORMAL
0,0,0,"0,139825218",0,0,2240,22,M,800,0,52667,OTHER,3950,9004,NORMAL
0,0,0,"0,139825218",0,0,2240,22,M,800,0,52666,OTHER,3950,9004,NORMAL
0,0,0,"0,051823417",0,0,30918,22,F,2083,0,267835,OTHER,3950,9004,NORMAL
0,"0,885114885",0,"0,027956989",0,0,23671,22,M,929,0,213400,OTHER,3950,9004,NORMAL
0,"0,137620793",0,"0,051217989",0,0,2501,22,F,1600,0,54563,OTHER,3950,9004,NORMAL
0,"0,137620793",0,"0,051217989",0,0,2501,22,F,1600,0,54564,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,004497751",0,0,13965,22,M,2000,0,140402,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,004497751",0,0,13965,22,M,2000,0,140401,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,004497751",0,0,13965,22,M,2000,0,140403,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,396617986",0,0,11082,22,M,1300,0,118758,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,396617986",0,0,11082,22,M,1300,0,118759,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,396617986",0,0,11082,22,M,1300,0,118760,OTHER,3950,9004,NORMAL
0,0,0,"0,012180268",0,0,24286,22,F,820,0,217965,OTHER,3950,9004,NORMAL
0,0,0,"0,012180268",0,0,24286,22,F,820,0,217966,OTHER,3950,9004,NORMAL
0,"0,635202665",0,"0,08478803",0,0,23035,22,M,400,0,208540,OTHER,3950,9004,NORMAL
0,"0,635202665",0,"0,08478803",0,0,23035,22,M,400,0,208541,OTHER,3950,9004,NORMAL
0,"0,304898367",0,"0,196535643",0,0,5465,22,M,1500,0,76517,OTHER,3950,9004,NORMAL
0,"0,304898367",0,"0,196535643",0,0,5465,22,M,1500,0,76518,OTHER,3950,9004,NORMAL
0,"0,304898367",0,"0,196535643",0,0,5465,22,M,1500,0,76519,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,991452991",0,0,32341,22,F,350,0,278457,OTHER,3950,9004,NORMAL
1,"0,9999999",0,"0,132275132",0,0,34849,22,M,1700,0,296970,OTHER,3950,9004,NORMAL
0,"0,504983389",0,"0,007590133",0,0,21887,22,M,526,0,200044,OTHER,3950,9004,NORMAL
0,"0,091908092",0,"0,125437281",0,0,35688,22,M,2000,0,303134,OTHER,3950,9004,NORMAL
0,"0,091908092",0,"0,125437281",0,0,35688,22,M,2000,0,303133,OTHER,3950,9004,NORMAL
0,"0,08727515",0,"0,03423161",0,0,941,22,F,2745,0,43233,OTHER,3950,9004,NORMAL
0,"0,08727515",0,"0,03423161",0,0,941,22,F,2745,0,43232,OTHER,3950,9004,NORMAL
0,"0,08727515",0,"0,03423161",0,0,941,22,F,2745,0,43234,OTHER,3950,9004,NORMAL
0,"0,723793677",0,"0,006496752",0,0,17182,22,M,2000,0,164431,OTHER,3950,9004,NORMAL
0,"1,017982018",0,"0,077307564",0,0,33171,22,M,3000,0,284441,OTHER,3950,9004,NORMAL
0,"1,017982018",0,"0,077307564",0,0,33171,22,M,3000,0,284442,OTHER,3950,9004,NORMAL
0,"0,08991009",0,"0,006644518",0,0,34458,22,F,300,0,294223,OTHER,3950,9004,NORMAL
0,"0,952047952",0,"0,221852099",0,0,22115,22,M,1500,0,201717,OTHER,3950,9004,NORMAL
0,"0,952047952",0,"0,221852099",0,0,22115,22,M,1500,0,201716,OTHER,3950,9004,NORMAL
0,"0,952047952",0,"0,221852099",0,0,22115,22,M,1500,0,201718,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,007308161",0,0,23577,22,M,820,0,212722,OTHER,3950,9004,NORMAL
0,"0,577474175",0,"0,062365591",0,0,796,22,F,929,0,42200,OTHER,3950,9004,NORMAL
0,"0,577474175",0,"0,062365591",0,0,796,22,F,929,0,42201,OTHER,3950,9004,NORMAL
0,"0,577474175",0,"0,062365591",0,0,796,22,F,929,0,42203,OTHER,3950,9004,NORMAL
0,"0,577474175",0,"0,062365591",0,0,796,22,F,929,0,42202,OTHER,3950,9004,NORMAL
0,"0,339330335",0,"0,010411244",0,0,22960,22,M,1920,0,207940,OTHER,3950,9004,NORMAL
0,"0,339330335",0,"0,010411244",0,0,22960,22,M,1920,0,207939,OTHER,3950,9004,NORMAL
0,"0,149900067",0,"0,078494624",0,0,1158,22,F,929,0,44849,OTHER,3950,9004,NORMAL
0,"0,149900067",0,"0,078494624",0,0,1158,22,F,929,0,44846,OTHER,3950,9004,NORMAL
0,"0,149900067",0,"0,078494624",0,0,1158,22,F,929,0,44845,OTHER,3950,9004,NORMAL
0,"0,149900067",0,"0,078494624",0,0,1158,22,F,929,0,44847,OTHER,3950,9004,NORMAL
0,"0,149900067",0,"0,078494624",0,0,1158,22,F,929,0,44848,OTHER,3950,9004,NORMAL
0,"0,548181061",0,"0,027429103",0,0,17528,22,M,2150,0,166860,OTHER,3950,9004,NORMAL
0,"0,548181061",0,"0,027429103",0,0,17528,22,M,2150,0,166861,OTHER,3950,9004,NORMAL
0,"0,548181061",0,"0,027429103",0,0,17528,22,M,2150,0,166859,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,138557638",0,0,7252,22,M,1760,0,89960,OTHER,3950,9004,NORMAL
0,"1,007984032",0,"0,007890584",0,0,15572,22,M,1900,0,152448,OTHER,3950,9004,NORMAL
0,"0,043956044",0,"0,001218027",0,0,35846,22,F,820,0,304247,OTHER,3950,9004,NORMAL
0,"0,043956044",0,"0,001218027",0,0,35846,22,F,820,0,304246,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,033305579",0,0,12798,22,F,1200,0,,,3950,9004,NORMAL
0,"0,0999001",0,"0,00487013",0,0,23513,22,F,615,0,212257,OTHER,3950,9004,NORMAL
0,"0,0999001",0,"0,00487013",0,0,23513,22,F,615,0,212256,OTHER,3950,9004,NORMAL
0,"0,0999001",0,"0,00487013",0,0,23513,22,F,615,0,212255,OTHER,3950,9004,NORMAL
2,"0,774032459",0,"0,35828877",0,0,9401,22,F,1308,0,106258,OTHER,3950,9004,NORMAL
2,"0,774032459",0,"0,35828877",0,0,9401,22,F,1308,0,106256,OTHER,3950,9004,NORMAL
2,"0,774032459",0,"0,35828877",0,0,9401,22,F,1308,0,106257,OTHER,3950,9004,NORMAL
0,"0,873126873",0,"0,025974026",0,0,771,22,M,1000,0,42041,OTHER,3950,9004,NORMAL
0,"0,873126873",0,"0,025974026",0,0,771,22,M,1000,0,42042,OTHER,3950,9004,NORMAL
0,"0,396377838",0,"0,281599059",0,0,7700,22,M,1700,0,93378,OTHER,3950,9004,NORMAL
0,"0,396377838",0,"0,281599059",0,0,7700,22,M,1700,0,93377,OTHER,3950,9004,NORMAL
0,"0,396377838",0,"0,281599059",0,0,7700,22,M,1700,0,93376,OTHER,3950,9004,NORMAL
0,"0,089871612",0,"0,002217295",0,0,35583,22,M,450,0,302316,OTHER,3950,9004,NORMAL
0,"0,239520958",0,"0,064935065",0,0,35562,22,M,1000,0,302116,OTHER,3950,9004,NORMAL
0,"0,239520958",0,"0,064935065",0,0,35562,22,M,1000,0,302117,OTHER,3950,9004,NORMAL
0,"0,239520958",0,"0,064935065",0,0,35562,22,M,1000,0,302115,OTHER,3950,9004,NORMAL
0,"0,772025431",0,"0,019215988",0,0,21325,22,M,1300,0,195660,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,35368,23,M,0,0,300686,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,252,23,M,800,0,,,3950,9004,NORMAL
0,0,0,0,0,0,10501,23,F,820,0,114508,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,22633,23,F,898,0,205596,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,3569,23,M,0,0,62686,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,13724,23,F,,0,138641,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,32806,23,F,864,0,281808,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,30006,23,F,898,0,260818,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,29602,23,M,820,0,257692,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33482,23,M,898,0,286884,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,30006,23,F,898,0,260817,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,7328,23,M,,0,,,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,19010,23,F,,0,,,3950,9004,NORMAL
0,"0,002999",0,0,0,0,16887,23,M,1500,0,162126,OTHER,3950,9004,NORMAL
0,"0,011988012",0,0,0,0,9350,23,F,864,0,105920,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,29965,23,M,,0,260452,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,23215,23,M,898,0,209842,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,2262,23,M,1200,0,52838,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,16571,23,M,2100,0,159959,OTHER,3950,9004,NORMAL
1,0,1,0,0,0,4341,23,F,898,0,68255,OTHER,3950,9004,NORMAL
0,"0,011988012",0,0,0,0,9350,23,F,864,0,105919,OTHER,3950,9004,NORMAL
0,"0,002999",0,0,0,0,16887,23,M,1500,0,162128,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,22633,23,F,898,0,205597,OTHER,3950,9004,NORMAL
1,0,1,0,0,0,4341,23,F,898,0,68256,OTHER,3950,9004,NORMAL
0,"0,002999",0,0,0,0,16887,23,M,1500,0,162129,OTHER,3950,9004,NORMAL
0,"0,006996502",0,0,0,0,4724,23,F,2557,0,71092,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,23258,23,F,2500,0,210162,OTHER,3950,9004,NORMAL
0,"0,002068252",0,0,0,0,26128,23,M,3000,0,231511,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,16571,23,M,2100,0,159960,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,9347,23,M,0,0,105910,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,23738,23,F,1120,0,213904,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,31655,23,M,,,,,3950,9004,NORMAL
0,"0,006996502",0,0,0,0,4724,23,F,2557,0,71093,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,5558,23,F,3000,0,,,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,20127,23,M,500,0,186568,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,34072,23,M,,0,291162,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,23258,23,F,2500,0,210163,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,31732,23,M,929,0,273857,OTHER,3950,9004,NORMAL
0,"0,002999",0,0,0,0,16887,23,M,1500,0,162127,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,31732,23,M,929,0,273858,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,10501,23,F,820,0,114509,OTHER,3950,9004,NORMAL
0,"0,002068252",0,0,0,0,26128,23,M,3000,0,231512,OTHER,3950,9004,NORMAL
1,"0,9999999",0,0,0,0,10498,23,F,770,0,,,3950,9004,NORMAL
0,"0,009993338",0,0,0,0,2129,23,M,898,0,51805,OTHER,3950,9004,NORMAL
0,"0,009993338",0,0,0,0,2129,23,M,898,0,51806,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,2757,23,M,,,56482,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,23738,23,F,1120,0,213903,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,34072,23,M,,0,291163,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33482,23,M,898,0,286883,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,24255,23,M,1000,0,217705,OTHER,3950,9004,NORMAL
0,"0,9999999",0,2,0,0,20887,23,M,,,,,3950,9004,NORMAL
0,"0,07992008",0,2,0,0,23337,23,M,0,0,210824,OTHER,3950,9004,NORMAL
0,"0,9999999",0,4,0,0,21989,23,M,,,200858,OTHER,3950,9004,NORMAL
